	area_foliar	espessura
sp_1	443.739425	0.3375
sp_2	156.5738	0.08
sp_3	204.44695	0.37
sp_4	18.579	0.26
sp_5	170.6724	0.4116666667
sp_6	148.1188	0.22
sp_7	724.8864	0.47
sp_8	2748.2546	0.62
sp_9	627.6348	0.32
sp_10	34.4408	0.32
sp_11	145.985	0.26
sp_12	84.3776	0.3
sp_13	1029.0588	0.33
sp_14	717.3097667	0.4033333333
sp_15	417.195	0.15
sp_16	2765.2425	0.28
sp_17	581.54	0.36
sp_18	3641.3641	0.49
sp_19	47.07	0.11
sp_20	567.8556	0.28
sp_21	190.8924	0.2
sp_22	184.5382	0.13
sp_23	7732.525	0.43
sp_24	1089.6816	0.69
sp_25	417.2841	0.51
sp_26	46.6924	0.23
sp_27	95.436	0.38
